"","neighbourhood_name","unique_species","total_trees_per_neighbourhood","diversity_ratio"
"1","ARBUTUS-RIDGE",121,5169,2.34087831301993
"2","DOWNTOWN",79,5159,1.53130451637914
"3","DUNBAR-SOUTHLANDS",161,9415,1.71003717472119
"4","FAIRVIEW",119,4002,2.97351324337831
"5","GRANDVIEW-WOODLAND",146,6703,2.17812919588244
"6","HASTINGS-SUNRISE",176,10547,1.6687209633071
"7","KENSINGTON-CEDAR COTTAGE",159,11042,1.4399565296142
"8","KERRISDALE",138,6936,1.98961937716263
"9","KILLARNEY",122,6148,1.98438516590761
"10","KITSILANO",171,8115,2.10720887245841
"11","MARPOLE",139,6353,2.18794270423422
"12","MOUNT PLEASANT",134,6292,2.12968849332486
"13","OAKRIDGE",133,4796,2.77314428690575
"14","RENFREW-COLLINGWOOD",170,11386,1.49306165466362
"15","RILEY PARK",154,6870,2.24163027656477
"16","SHAUGHNESSY",150,7009,2.14010557854187
"17","SOUTH CAMBIE",127,3343,3.7989829494466
"18","STRATHCONA",122,2724,4.47870778267254
"19","SUNSET",147,8367,1.75690211545357
"20","VICTORIA-FRASERVIEW",131,7789,1.68185903196816
"21","WEST END",120,3507,3.42172797262618
"22","WEST POINT GREY",137,4939,2.77384085847337
